event_id,timestamp,U,S,R,D,theta,trigger,solver_called,severity_minutes,delay_probability
svrp_013_e0000,16.85700309162236,0.2,0.7633701597688658,0.0,0.2908425399422164,0.5994611988172958,False,False,15.0,0.8
svrp_013_e0001,27.61173789204154,0.175,0.6786797681067243,0.0,0.2571699420266811,0.5473980610646969,False,False,15.0,0.7
svrp_013_e0002,47.19627761851154,0.1875,0.8684796967089567,0.0,0.3108699241772392,0.4716951895755322,False,False,15.0,0.75
svrp_013_e0003,54.86656590155542,0.02,0.915858223165422,0.0,0.2389645557913555,0.44760085144586226,False,False,2.0,0.6
svrp_013_e0004,68.75390150292125,0.2,0.7942459980648886,0.0,0.29856149951622213,0.41044305148850985,False,False,15.0,0.8
svrp_013_e0005,88.44818600047174,0.06666666666666667,0.9300088588535196,0.0,0.2658355480467132,0.3694054437848703,False,False,5.0,0.8
svrp_013_e0006,103.57656360656371,0.049999999999999996,0.9086808256967389,0.0,0.25217020642418475,0.3451637534919009,False,False,10.0,0.3
svrp_013_e0007,106.34329183177813,0.08000000000000002,0.8893892628907036,0.0,0.2623473157226759,0.3412951993610176,False,False,6.0,0.8
svrp_013_e0008,110.2080530490287,0.06666666666666667,0.7352585856609579,0.0,0.2171479797485728,0.3361531724507488,False,False,5.0,0.8
svrp_013_e0009,110.83316989069546,0.54,0.9583769893711076,0.0,0.5095942473427769,0.3353491110983322,True,True,36.0,0.9
svrp_013_e0010,114.17248667675481,0.024999999999999998,0.9390114231357841,0.0,0.24725285578394604,0.6780148242043579,False,False,5.0,0.3
svrp_013_e0011,136.62234180390652,0.2,0.5987977403575925,0.0,0.24969943508939813,0.5556406312349196,False,False,15.0,0.8
svrp_013_e0012,154.64370289286222,0.175,0.9402552142247631,0.0,0.32256380355619074,0.4832450430247018,False,False,15.0,0.7
svrp_013_e0013,178.4109677694388,0.15,0.7792685082411137,0.0,0.26981712706027844,0.4132986306710309,False,False,15.0,0.6
svrp_013_e0014,179.29547968025736,0.2,0.9234740463253577,0.0,0.33086851158133945,0.4111463463937449,False,False,15.0,0.8
svrp_013_e0015,188.221762140674,0.9,0.7836916349634164,0.0,0.6459229087408541,0.39095190022382986,True,True,114.0,0.9
svrp_013_e0016,191.584843320589,0.06,0.6972131393745452,0.0,0.2043032848436363,0.6778622787017321,False,False,4.0,0.9
svrp_013_e0017,244.79062773013075,0.2,0.8751625730193989,0.0,0.31879064325484974,0.44261908752073176,False,False,15.0,0.8
svrp_013_e0018,268.56131666620536,0.02333333333333333,0.6761357094635656,0.0,0.18070059403255806,0.38484881538782245,False,False,2.0,0.7
svrp_013_e0019,281.5141905027994,0.175,0.7480679911963195,0.0,0.2745169977990799,0.3610367421979271,False,False,15.0,0.7
svrp_013_e0020,285.2023942517236,0.02333333333333333,0.888310585737273,0.0,0.2337443131009849,0.35506068137648855,False,False,2.0,0.7
svrp_013_e0021,285.6931170986584,0.12,0.7403218519969343,0.0,0.24508046299923358,0.3542901854550545,False,False,9.0,0.8
svrp_013_e0022,302.9895899324258,0.2,0.7792489498046581,0.0,0.2948122374511645,0.3304575861852324,False,False,15.0,0.8
svrp_013_e0023,318.37729962655476,0.45,0.9197942176662063,0.0,0.4549485544165516,0.313874135901797,True,True,30.0,0.9
svrp_013_e0024,333.74221152279733,0.125,0.6590657777587019,0.0,0.22726644443967547,0.6073708021829194,False,False,15.0,0.5
svrp_013_e0025,354.7511495329357,0.016666666666666666,0.6307251816443817,0.0,0.16601462874442877,0.5107702715679845,False,False,2.0,0.5
svrp_013_e0026,370.4874845727928,0.024999999999999998,0.666421953741501,0.0,0.17910548843537527,0.4559420479480133,False,False,5.0,0.3
svrp_013_e0027,378.6565439851314,0.049999999999999996,0.7901845626861677,0.0,0.2225461406715419,0.4321916067057363,False,False,10.0,0.3
svrp_013_e0028,378.92996222565984,0.175,0.6344059858644127,0.0,0.24610149646610316,0.43144591925692777,False,False,15.0,0.7
svrp_013_e0029,395.8256404098145,0.175,0.6687940937467223,0.0,0.25469852343668054,0.3908256317754175,False,False,15.0,0.7
svrp_013_e0030,414.53651525664117,0.9,0.9891036266331008,0.0,0.6972759066582752,0.35636316765412146,True,True,120.0,0.9
svrp_013_e0031,446.40797411218153,0.013333333333333334,0.7846013059448337,0.0,0.20281699315287507,0.5289899333342738,False,False,1.0,0.8
