event_id,timestamp,affected_type,affected_id,true_delay,true_probability,severity_class,message
svrp_005_e0000,14.661874231155192,edge,"(19, 89)",3.369895135583752,0.9650711673531909,mild,"slight delay at the crosswalk, nothing serious"
svrp_005_e0001,21.1161428728691,edge,"(83, 97)",3.210222954764903,0.1303456162331868,mild,"minor congestion, moving slowly but flowing"
svrp_005_e0002,63.80740855053551,edge,"(68, 62)",1.1095758261830766,0.7085081334327056,mild,stuck behind a garbage truck for a minute or two
svrp_005_e0003,76.06537327407557,edge,"(79, 20)",3.2113370461806623,0.7192764316045105,mild,stuck behind a garbage truck for a minute or two
svrp_005_e0004,83.0156756387896,edge,"(50, 64)",11.490584898469704,0.5996270438167637,medium,"school zone congestion, queues forming"
svrp_005_e0005,94.45235608677997,edge,"(43, 39)",3.1297233336141734,0.3864137091928346,mild,"slow traffic at the junction, about 3 minutes late"
svrp_005_e0006,122.71718601119463,edge,"(88, 34)",2.048880166278151,0.4463900683949754,mild,"minor congestion, moving slowly but flowing"
svrp_005_e0007,139.97759350630034,edge,"(77, 26)",9.932069897588555,0.6453195752104874,medium,"heavier than usual traffic on this stretch, expect ~10 min delay"
svrp_005_e0008,158.67014391510767,edge,"(32, 5)",7.676569592561783,0.5720365217533081,medium,"heavier than usual traffic on this stretch, expect ~8 min delay"
svrp_005_e0009,164.9160183000784,edge,"(57, 22)",2.5699746855066703,0.7096788564728562,mild,"minor congestion, moving slowly but flowing"
svrp_005_e0010,175.62325967224533,edge,"(52, 10)",10.399181024711933,0.7769356395606373,medium,"school zone congestion, queues forming"
svrp_005_e0011,187.77953365271935,edge,"(24, 41)",5.037182939060232,0.5721574781415933,medium,double-parked van blocking half the lane
svrp_005_e0012,197.22095470052545,edge,"(66, 83)",2.9042359833946456,0.732644417086071,mild,"slight delay at the crosswalk, nothing serious"
svrp_005_e0013,198.56573621791676,edge,"(72, 32)",15.700533804584367,0.9760929814250663,medium,double-parked van blocking half the lane
svrp_005_e0014,216.1861121382169,edge,"(52, 58)",46.671720978788144,0.9230273392266164,severe,"fire trucks blocking the whole intersection, no way through"
svrp_005_e0015,226.3458939356792,edge,"(26, 71)",3.309880851512786,0.534317375134295,mild,"minor congestion, moving slowly but flowing"
svrp_005_e0016,236.85078911517505,edge,"(1, 45)",9.879869644009474,0.6009469518559455,medium,"heavier than usual traffic on this stretch, expect ~10 min delay"
svrp_005_e0017,290.99527136746065,edge,"(75, 91)",2.2787367427783813,0.40660653925395923,mild,"slight delay at the crosswalk, nothing serious"
svrp_005_e0018,296.5651791207357,edge,"(46, 35)",100.53304964343987,1.0,severe,"road completely blocked by a landslide, rerouting required"
svrp_005_e0019,326.0388351870314,edge,"(98, 77)",3.6795937191888806,0.720347658289155,mild,"minor congestion, moving slowly but flowing"
svrp_005_e0020,334.4375921328867,edge,"(84, 63)",5.698641477940513,0.6450093045636033,medium,"construction work narrowing the lanes, slow but moving"
svrp_005_e0021,345.44979183416996,edge,"(18, 61)",6.564030986858837,0.3842575614313516,medium,"heavier than usual traffic on this stretch, expect ~7 min delay"
svrp_005_e0022,357.44580000472195,edge,"(80, 65)",5.458970288467425,0.5380510271720229,medium,"school zone congestion, queues forming"
svrp_005_e0023,414.2357880685587,edge,"(39, 90)",4.34601909893951,0.728585203697934,mild,"slight delay at the crosswalk, nothing serious"
svrp_005_e0024,416.73596474257374,edge,"(98, 92)",4.933169851855015,0.5122954877182745,mild,"minor congestion, moving slowly but flowing"
svrp_005_e0025,438.86545647257464,edge,"(96, 59)",0.8325345668948009,0.305713815872393,mild,stuck behind a garbage truck for a minute or two
svrp_005_e0026,490.24115171280306,edge,"(22, 59)",5.305034029325139,0.3283458661072374,medium,"school zone congestion, queues forming"
svrp_005_e0027,498.4483629147887,edge,"(97, 54)",6.7761051591679635,0.40874645055151926,medium,double-parked van blocking half the lane
svrp_005_e0028,506.9774959508126,edge,"(54, 83)",36.294895741803536,0.9032438834911367,severe,"road completely blocked by a landslide, rerouting required"
svrp_005_e0029,523.7000201626314,edge,"(76, 32)",6.19683600087977,0.4947259075331875,medium,"construction work narrowing the lanes, slow but moving"
svrp_005_e0030,536.766136203216,edge,"(27, 92)",7.99780225292282,0.780791706906636,medium,"heavier than usual traffic on this stretch, expect ~8 min delay"
svrp_005_e0031,538.111103041661,edge,"(22, 10)",8.366279261594753,0.6591257813553382,medium,"heavier than usual traffic on this stretch, expect ~8 min delay"
svrp_005_e0032,541.2789048067787,edge,"(47, 22)",4.5333924033889295,0.2919626837019772,mild,"minor congestion, moving slowly but flowing"
svrp_005_e0033,554.1133626691436,edge,"(84, 99)",11.401047861429074,0.6530807866246309,medium,"school zone congestion, queues forming"
svrp_005_e0034,561.8547184997711,edge,"(37, 0)",3.869191483595152,0.2620130051403563,mild,"slow traffic at the junction, about 4 minutes late"
svrp_005_e0035,574.4617313157195,edge,"(70, 52)",53.37217564086085,1.0,severe,"fire trucks blocking the whole intersection, no way through"
svrp_005_e0036,613.5998840406935,edge,"(87, 9)",5.375079381473704,0.47269976418652737,medium,"school zone congestion, queues forming"
svrp_005_e0037,619.2536020557593,edge,"(47, 7)",2.6570216213264293,0.6319378802388705,mild,stuck behind a garbage truck for a minute or two
svrp_005_e0038,621.9922137114781,edge,"(69, 95)",2.485804385507025,0.26605154392070385,mild,"minor congestion, moving slowly but flowing"
svrp_005_e0039,623.9019074087818,edge,"(89, 69)",8.79839173491908,0.7799962657016234,medium,"heavier than usual traffic on this stretch, expect ~9 min delay"
svrp_005_e0040,635.0401647282108,edge,"(39, 84)",6.298447539205895,0.3887000990004882,medium,"school zone congestion, queues forming"
svrp_005_e0041,641.7480040841834,edge,"(21, 93)",94.40575824817266,0.8981590956391039,severe,"huge protest on Main Street, traffic at a standstill for 94 minutes"
svrp_005_e0042,657.9420582847553,edge,"(39, 59)",74.12208877113294,1.0,severe,"road completely blocked by a landslide, rerouting required"
svrp_005_e0043,674.0524421672088,edge,"(29, 61)",6.107035678091444,0.725395645249379,medium,"heavier than usual traffic on this stretch, expect ~6 min delay"
svrp_005_e0044,690.4497467703437,edge,"(42, 20)",6.137613997188156,0.6595256658144107,medium,"school zone congestion, queues forming"
svrp_005_e0045,691.5258542670729,edge,"(68, 85)",7.82468534363003,0.6104473953996609,medium,"construction work narrowing the lanes, slow but moving"
svrp_005_e0046,697.1429758909388,edge,"(92, 49)",42.63361849442743,1.0,severe,"fire trucks blocking the whole intersection, no way through"
svrp_005_e0047,711.093031884259,edge,"(4, 25)",9.153886591348671,0.36204349736639085,medium,double-parked van blocking half the lane
svrp_005_e0048,713.3790419718177,edge,"(40, 7)",2.9972027911980272,0.3129906707583301,mild,"slight delay at the crosswalk, nothing serious"
svrp_005_e0049,734.1515200716041,edge,"(19, 58)",8.244273527472556,0.7175863592001513,medium,"school zone congestion, queues forming"
svrp_005_e0050,740.4639677986241,edge,"(16, 13)",11.156203942613057,0.7234241336687173,medium,"heavier than usual traffic on this stretch, expect ~11 min delay"
svrp_005_e0051,752.8242312986843,edge,"(95, 49)",40.81513731245056,1.0,severe,"road completely blocked by a landslide, rerouting required"
svrp_005_e0052,758.6709189508475,edge,"(92, 31)",2.8082127131880283,0.5475742369361883,mild,stuck behind a garbage truck for a minute or two
svrp_005_e0053,768.4008690800819,edge,"(32, 97)",82.40429548967539,0.5900269077203065,severe,"road completely blocked by a landslide, rerouting required"
svrp_005_e0054,770.8581134436162,edge,"(30, 53)",1.3454950350473305,0.1867156484443929,mild,"slow traffic at the junction, about 1 minutes late"
svrp_005_e0055,776.2130899453255,edge,"(84, 23)",4.200560447803405,0.28476269131883647,mild,"minor congestion, moving slowly but flowing"
svrp_005_e0056,776.8487185771534,edge,"(61, 43)",6.376998588957614,0.3392172829122068,medium,"heavier than usual traffic on this stretch, expect ~6 min delay"
svrp_005_e0057,791.9456112810873,edge,"(68, 14)",7.888167908746868,0.6359951292466647,medium,double-parked van blocking half the lane
svrp_005_e0058,796.0257890087241,edge,"(14, 37)",5.991332782347917,0.4660370065665123,medium,double-parked van blocking half the lane
