event_id,timestamp,U,S,R,D,theta,trigger,solver_called,severity_minutes,delay_probability
syn_n200_000_e0000,1.3629000461078,0.024999999999999998,0.9120908209060996,0.0,0.2405227052265249,0.6908938229059063,False,False,5.0,0.3
syn_n200_000_e0001,9.705836900655953,0.049999999999999996,0.9002873510076781,0.0,0.25007183775191955,0.6390313879786975,False,False,10.0,0.3
syn_n200_000_e0002,19.819861189225207,0.02333333333333333,0.786715199358783,0.0,0.2083454665063624,0.5842702056702097,False,False,2.0,0.7
syn_n200_000_e0003,26.469057950741774,0.02333333333333333,0.8332084113610487,0.0,0.21996876950692884,0.5525394594731963,False,False,2.0,0.7
syn_n200_000_e0004,33.934435289010736,0.2,0.7608790209357708,0.0,0.2902197552339427,0.5204888975939416,False,False,15.0,0.8
syn_n200_000_e0005,37.65071200724486,0.013333333333333334,0.8649648993329917,0.0,0.22290789149991458,0.5058232823155876,False,False,1.0,0.8
syn_n200_000_e0006,44.01714714696212,0.175,0.7963202110069842,0.0,0.28658005275174603,0.48252328616485296,False,False,15.0,0.7
syn_n200_000_e0007,47.18138622281579,0.09333333333333334,0.7065592937979459,0.0,0.22330649011615314,0.4717447153685148,False,False,7.0,0.8
syn_n200_000_e0008,49.59563674219238,0.9,0.9134112706965682,0.0,0.678352817674142,0.46385816857559486,True,True,120.0,0.9
syn_n200_000_e0009,57.201768529948765,0.175,0.9139326042817723,0.0,0.31598315107044306,0.6514791516746279,False,False,15.0,0.7
syn_n200_000_e0010,59.89202496615319,0.049999999999999996,0.7287694094776687,0.0,0.20719235236941716,0.6356004614356738,False,False,5.0,0.6
syn_n200_000_e0011,64.76022676481423,0.08333333333333333,0.9518056182602098,0.0,0.2796180712317191,0.6084462549791845,False,False,10.0,0.5
syn_n200_000_e0012,66.83993528401606,0.041666666666666664,0.693983610801349,0.0,0.19432923603367058,0.5974369134993542,False,False,5.0,0.5
syn_n200_000_e0013,76.19186991797876,0.2,0.6465343510337336,0.0,0.2616335877584334,0.5519628767431848,False,False,15.0,0.8
syn_n200_000_e0014,77.32391762585877,0.041666666666666664,0.8390141972811372,1.0,0.48058688265361765,0.5468786203297121,False,False,5.0,0.5
syn_n200_000_e0015,88.24069081994352,0.175,0.7633319185903484,0.0,0.2783329796475871,0.5020359589551664,False,False,15.0,0.7
syn_n200_000_e0016,91.09223078767943,0.9,0.8233416727946152,0.0,0.6558354181986539,0.49148290216122714,True,True,120.0,0.9
syn_n200_000_e0017,95.43127929442535,0.03333333333333333,0.6256673706541328,0.0,0.17308350933019986,0.671644210423694,False,False,5.0,0.4
syn_n200_000_e0018,101.61010491853175,0.02333333333333333,0.8407487788810634,0.0,0.2218538613869325,0.6343215111146073,False,False,2.0,0.7
syn_n200_000_e0019,102.57754181294564,0.15,0.9213753082109788,0.0,0.3053438270527447,0.628784680150422,False,False,15.0,0.6
syn_n200_000_e0020,121.21605973143524,0.02,0.7698702134098618,0.0,0.20246755335246547,0.5364002043526412,False,False,2.0,0.6
syn_n200_000_e0021,125.78662650704722,0.04000000000000001,0.7854877297678802,0.0,0.21637193244197006,0.5174229926570926,False,False,3.0,0.8
syn_n200_000_e0022,129.6061838885795,0.2,0.748243204376526,0.0,0.2870608010941315,0.5025320790152774,False,False,15.0,0.8
syn_n200_000_e0023,136.1664813129978,0.2,0.8129634760601259,0.0,0.30324086901503144,0.4788653466886349,False,False,15.0,0.8
syn_n200_000_e0024,139.99230852712944,0.1875,0.7905110509210947,0.0,0.2913777627302737,0.4661011136006966,False,False,15.0,0.75
syn_n200_000_e0025,140.70706688800163,0.15,0.8786682219275933,0.0,0.2946670554818983,0.46379658834976445,False,False,15.0,0.6
syn_n200_000_e0026,157.30624184304548,0.175,0.9487120824945305,0.0,0.3246780206236326,0.4166736013408972,False,False,15.0,0.7
syn_n200_000_e0027,168.46802784595894,0.5666666666666667,0.8038968825287154,0.0,0.48430755396551217,0.3909789554188255,True,True,34.0,1.0
syn_n200_000_e0028,180.290735168486,0.016666666666666666,0.7096220265211485,0.0,0.18573883996362045,0.6268725146852827,False,False,2.0,0.5
syn_n200_000_e0029,180.57193041060043,0.175,0.8820266256282675,0.0,0.30800665640706687,0.6252862410613247,False,False,15.0,0.7
syn_n200_000_e0030,189.72683233792029,0.04000000000000001,0.9153451108355846,0.0,0.24883627770889616,0.5771325745148345,False,False,3.0,0.8
syn_n200_000_e0031,193.4044455529137,0.13333333333333333,0.8091127844334239,0.0,0.26894486277502266,0.5595752873039617,False,False,10.0,0.8
syn_n200_000_e0032,201.00183988721415,0.049999999999999996,0.7076507049397438,0.0,0.20191267623493594,0.526231809346815,False,False,10.0,0.3
syn_n200_000_e0033,201.43761243718922,0.45,0.7995282253304102,0.0,0.42488205633260256,0.5244320841868969,False,False,30.0,0.9
syn_n200_000_e0034,204.45085830966968,0.26666666666666666,0.8340568400602255,0.0,0.34184754334838974,0.5123042595074652,False,False,20.0,0.8
syn_n200_000_e0035,204.90127141234203,0.45,0.8495341483625898,0.0,0.4373835370906475,0.510538053512723,False,False,30.0,0.9
syn_n200_000_e0036,210.60237304427068,0.016666666666666666,0.7984894576394508,0.0,0.20795569774319603,0.489183826491811,False,False,5.0,0.2
syn_n200_000_e0037,211.31047456153823,0.15,0.8678847797513073,0.0,0.2919711949378268,0.48665677436375776,False,False,15.0,0.6
syn_n200_000_e0038,211.41785087074365,0.32999999999999996,0.8206208701134425,0.0,0.3701552175283606,0.4862759111990058,False,False,22.0,0.9
syn_n200_000_e0039,211.63579435465005,0.04000000000000001,0.6803687433602016,0.0,0.1900921858400504,0.48550475047796987,False,False,3.0,0.8
syn_n200_000_e0040,219.19063825603996,0.2,0.888190110756826,0.0,0.3220475276892065,0.46027336590983603,False,False,15.0,0.8
syn_n200_000_e0041,223.08891540346355,0.049999999999999996,0.8060525038430835,0.0,0.22651312596077086,0.4483303886058424,False,False,10.0,0.3
syn_n200_000_e0042,224.21364618507627,0.02333333333333333,0.9667525575578975,0.0,0.253354806056141,0.44501243147344594,False,False,2.0,0.7
syn_n200_000_e0043,227.3439567197595,0.95,0.9356885172545304,0.0,0.7089221293136325,0.43606733971255573,True,True,120.0,0.95
