event_id,trigger,solver_called,runtime
syn_n100_001_e0000,True,True,30.00177652016282
syn_n100_001_e0001,True,True,30.00052838306874
syn_n100_001_e0002,True,True,30.002717325929552
syn_n100_001_e0003,True,True,29.999801815021783
syn_n100_001_e0004,True,True,30.000973001588136
syn_n100_001_e0005,True,True,30.00035661784932
syn_n100_001_e0006,True,True,30.000699136871845
syn_n100_001_e0007,True,True,30.012912814039737
syn_n100_001_e0008,True,True,30.000000760890543
syn_n100_001_e0009,True,True,30.000369891989976
syn_n100_001_e0010,True,True,30.000218119006604
syn_n100_001_e0011,True,True,30.00002931104973
syn_n100_001_e0012,True,True,30.002498026937246
syn_n100_001_e0013,True,True,30.022832531947643
syn_n100_001_e0014,True,True,30.00070197880268
syn_n100_001_e0015,True,True,30.022096876986325
syn_n100_001_e0016,True,True,30.000268661417067
syn_n100_001_e0017,True,True,30.000795690808445
syn_n100_001_e0018,True,True,29.999689448159188
syn_n100_001_e0019,True,True,30.000345463864505
syn_n100_001_e0020,True,True,30.008708608802408
syn_n100_001_e0021,True,True,30.001045764889568
syn_n100_001_e0022,True,True,30.001322283875197
syn_n100_001_e0023,True,True,30.000562905799598
syn_n100_001_e0024,True,True,30.000142144970596
syn_n100_001_e0025,True,True,30.000229535158724
syn_n100_001_e0026,True,True,30.000447751954198
syn_n100_001_e0027,True,True,30.000509206205606
syn_n100_001_e0028,True,True,30.00000602332875
syn_n100_001_e0029,True,True,30.000568178948015
syn_n100_001_e0030,True,True,30.032128882128745
syn_n100_001_e0031,True,True,29.99985045194626
syn_n100_001_e0032,True,True,30.000628620851785
syn_n100_001_e0033,True,True,29.99990434013307
syn_n100_001_e0034,True,True,30.028310080990195
syn_n100_001_e0035,True,True,30.000610893126577
syn_n100_001_e0036,True,True,30.00122084002942
syn_n100_001_e0037,True,True,30.000701165758073
syn_n100_001_e0038,True,True,29.999847900122404
syn_n100_001_e0039,True,True,30.001063058152795
syn_n100_001_e0040,True,True,30.004864228423685
syn_n100_001_e0041,True,True,30.000136610120535
syn_n100_001_e0042,True,True,30.001012057065964
syn_n100_001_e0043,True,True,30.001459068618715
syn_n100_001_e0044,True,True,30.000008635688573
syn_n100_001_e0045,True,True,30.00069095706567
syn_n100_001_e0046,True,True,30.00037796003744
syn_n100_001_e0047,True,True,30.000291873700917
syn_n100_001_e0048,True,True,30.00049617793411
syn_n100_001_e0049,True,True,30.000685199629515
