event_id,timestamp,U,S,R,D,theta,confidence,trigger,solver_called,reason,severity_minutes,delay_probability
svrp_002_e0000,0.8133542670320004,0.024999999999999998,0.918018411147728,0.0,0.2248993544550475,0.6945432136367367,0.9293185,False,False,D<theta,5.0,0.3
svrp_002_e0001,5.942348042704495,0.049999999999999996,0.855750745422438,0.0,0.21529936600053134,0.6616248441700293,0.9010691000000001,False,False,D<theta,10.0,0.3
svrp_002_e0002,10.847553358690067,0.02333333333333333,0.8214156624060043,0.0,0.19621358202879954,0.6324256603623791,0.9041243,False,False,D<theta,2.0,0.7
svrp_002_e0003,58.19113374172442,0.02333333333333333,0.725396976989475,0.0,0.16627818883875775,0.437988459750217,0.8614740000000001,False,False,D<theta,2.0,0.7
svrp_002_e0004,67.36258456556033,0.2,0.8124093219266629,0.0,0.2720760484879693,0.4138266430673878,0.8976376,False,False,D<theta,15.0,0.8
svrp_002_e0005,100.85662379914864,0.12,0.9873460578563494,0.0,0.2696166009029132,0.3491266401181865,0.8786979,False,False,D<theta,9.0,0.8
svrp_002_e0006,115.5497671891454,0.2,0.8219141481104018,0.0,0.28226858326278037,0.3295194046025004,0.924021,False,False,D<theta,15.0,0.8
svrp_002_e0007,121.66166629344184,0.05333333333333334,0.8445098111046979,0.0,0.20861587736955065,0.32255338156411595,0.8772962,False,False,D<theta,4.0,0.8
svrp_002_e0008,148.2880813397395,0.05333333333333334,0.7966975975006692,0.0,0.19396563213962348,0.29866335888764833,0.858859,False,False,D<theta,4.0,0.8
svrp_002_e0009,152.7651552638433,0.175,0.8271719636691126,0.0,0.27560005929089537,0.2955026357935086,0.9364819,False,False,D<theta,15.0,0.7
svrp_002_e0010,230.28138533083938,0.2,0.8258845137990899,0.0,0.2804178032904674,0.2642253673339217,0.9149893,True,True,D>=theta,15.0,0.8
svrp_002_e0011,240.9146947653237,0.1875,0.9706381155569669,0.0,0.29779550121665366,0.6336566228626413,0.8852172,False,False,D<theta,15.0,0.75
svrp_002_e0012,268.44240076608065,0.049999999999999996,0.8452148526830469,0.0,0.2121409259575405,0.5038725453795898,0.8977469,False,False,D<theta,5.0,0.6
svrp_002_e0013,272.2092692482255,0.024999999999999998,0.5815787146450372,0.0,0.1392359329050331,0.4899257076598029,0.8818279,False,False,D<theta,5.0,0.3
svrp_002_e0014,300.3353466011372,0.2,0.9070726915752523,0.0,0.27860267491653423,0.4073445778438123,0.8526004,False,False,D<theta,15.0,0.8
svrp_002_e0015,300.4510150394582,0.125,0.9335850071024149,0.0,0.27728804665244033,0.40707181751148735,0.9371124000000001,False,False,D<theta,15.0,0.5
